nan	ArAr80Di	Y89Di	In113Di	In115Di	I127Di	Xe131Di	Xe134Di	Ba138Di	Pr141Di	Nd142Di	Nd143Di	Nd144Di	Nd145Di	Nd146Di	Sm147Di	Nd148Di	Sm149Di	Nd150Di	Eu151Di	Sm152Di	Eu153Di	Sm154Di	Gd155Di	Gd156Di	Gd157Di	Gd158Di	Tb159Di	Gd160Di	Dy161Di	Dy162Di	Dy163Di	Dy164Di	Ho165Di	Er166Di	Er167Di	Er168Di	Tm169Di	Er170Di	Yb171Di	Yb172Di	Yb173Di	Yb174Di	Lu175Di	Yb176Di	BCKG190Di	Ir191Di	Ir193Di	Pt194Di	Pb208Di
ArAr80Di	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y89Di	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
In113Di	0	0	1	0.073326229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
In115Di	0	0	0.042543823	1	0	0.000168512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I127Di	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xe131Di	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xe134Di	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ba138Di	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pr141Di	0	0	0	0	0	0	0	0	1	0.001909396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003083422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd142Di	0	0	0	0	0	0	0	0	0.000308527	1	0.006006623	0.003233688	0.000737567	0.001109725	0	0.000357015	0	0.000185607	0	0	0	0	0	0	0	0.001119366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd143Di	0	0	0	0	0	0	0	0	0	0.007989663	1	0.022867603	0.002558161	0.002478611	0	0.00088893	0	0.000458561	0	0	0	0	0	0	0	0	0.000958689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd144Di	0	0	0	0	0	0	0	0	0	0.00172558	0.002452145	1	0.006619399	0.003030602	0	0.000703606	0	0.000473494	0	0	0	0	0	0	0	0	0	0.000950873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd145Di	0	0	0	0	0	0	0	0	0	0.002660012	0.002283117	0.011882644	1	0.040795461	0	0.001759865	0	0.001231545	0	0	0	0	0	0	0	0	0	0	0.000967352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd146Di	0	0	0	0	0	0	0	0	0	0.001790044	0.001300036	0.00295582	0.002525211	1	0.001422207	0.00293663	0	0.001167565	0	0	0	0	0	0	0	0	0	0	0	0.000845661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm147Di	0	0	0	0	0	0	0	0	0	0	0	0.001106488	0	0.000897926	1	0.026950485	0.006475986	0.002449073	0	0.005317091	0	0.003487088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd148Di	0	0	0	0	0	0	0	0	0	0.003665192	0.002102928	0.004177954	0.001749959	0.006194067	0.000288512	1	0.002110918	0.004816001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000845692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm149Di	0	0	0	0	0	0	0	0	0	0	0	0.000263708	0	0	0.001959369	0.007913341	1	0.017532641	0	0.005326286	0	0.002973127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd150Di	0	0	0	0	0	0	0	0	0	0.003554579	0.002445365	0.004980857	0.001758754	0.003697175	0	0.002408231	0.0002627	1	0.001565406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000675393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu151Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216036	1	0.00132685	0.009086699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm152Di	0	0	0	0	0	0	0	0	0	0	0	7.67E-05	0	0	0.000403003	0.000524834	0.00103387	0.001647007	0.000505281	1	0.001564268	0.00826319	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu153Di	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006813758	0.000217097	1	0.001549307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm154Di	0	0	0	0	0	0	0	0	0	0	0	0.0001082	0	0	0.00114954	0.001146868	0.001380153	0.001009705	0	0.006774129	0.000247778	1	0.001448228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
